,id,carat,depth,table,price,cut_num,color_num,clarity_num
0,0,1.14,61.0,56.0,9013,4,4,3
1,1,0.76,62.7,57.0,2692,4,3,5
2,2,0.84,61.4,56.0,4372,4,4,4
3,3,1.55,62.0,57.0,13665,4,3,4
4,4,0.3,61.9,57.0,422,4,4,7
5,5,0.4,62.4,56.0,1088,4,5,3
6,6,1.52,65.4,58.0,7186,1,1,4
7,7,1.13,59.7,57.0,5342,4,5,6
8,8,0.41,61.9,55.0,1367,4,6,2
9,9,0.24,62.0,58.0,552,3,5,3
10,10,0.81,61.9,55.0,3913,4,6,6
11,11,1.2,63.1,61.0,4301,3,2,6
12,12,1.24,62.0,57.0,9240,4,6,5
13,13,1.0,63.1,59.0,6440,3,7,5
14,14,0.51,61.9,57.0,1261,3,4,6
15,15,0.38,62.3,53.4,703,4,2,4
16,16,0.46,62.6,57.0,1661,4,6,2
17,17,0.51,60.7,57.0,1826,4,7,4
18,18,0.35,60.0,61.0,491,3,3,6
19,19,0.3,63.2,57.0,878,3,4,3
20,20,0.35,62.8,55.0,460,3,5,7
21,21,0.4,62.0,61.0,687,3,6,6
22,22,1.2,62.9,55.0,8454,3,5,5
23,23,0.41,61.2,62.0,1184,3,6,2
24,24,1.02,62.8,56.0,6047,3,7,6
25,25,0.3,62.9,58.0,540,5,3,6
26,26,0.4,61.9,54.0,1020,4,6,5
27,27,1.07,59.2,57.0,4314,4,3,7
28,28,1.02,61.0,60.0,4958,5,3,5
29,29,1.22,59.8,59.0,8417,5,5,5
30,30,0.91,62.9,56.0,5228,5,6,4
31,31,0.54,61.5,56.0,1720,4,6,6
32,32,0.51,63.3,55.0,1638,3,6,5
33,33,2.03,59.9,59.0,16422,3,2,5
34,34,0.32,60.7,58.0,505,5,3,5
35,35,1.5,63.3,57.0,8427,3,1,3
36,36,1.21,61.0,60.0,4675,5,1,4
37,37,0.27,61.5,56.0,490,4,4,5
38,38,0.3,61.9,57.0,1013,4,6,3
39,39,1.01,64.1,56.0,3111,2,3,7
40,40,0.46,62.6,58.0,1245,3,6,5
